Название продукта,Категория продукта,Цена продукта,Город
Джем из красного Сицилийского апельсина Alicos 110 гр,Антипасти,2 500 Т,Алматы
Plaza Del Sol Оливки целые Гордал 350 гр,Антипасти,2 200 Т,Алматы
Plaza Del Sol Оливки с лимоном 280 гр,Антипасти,1 700 Т,Алматы
Plaza Del Sol Гаспачо 750 мл,Антипасти,2 490 Т,Алматы
Филе сардин Medusa 1000 гр,Антипасти,17 500 Т,Алматы
Каперсы в соли Le Bonta 212 мл,Антипасти,2 800 Т,Алматы
Plaza Del Sol Оливки с лососем 280 гр,Антипасти,1 700 Т,Алматы
Джем грушевый Le Bonta 314 мл,Антипасти,3 000 Т,Алматы
Plaza Del Sol Оливки с анчоусами 280 гр,Антипасти,1 700 Т,Алматы
Casa Marrazzo Целые очищенные помидоры Сан Марцано с базиликом 2560 гр,Антипасти,6 890 Т,Алматы
"Перец Черри с сыром, Le Bonta, 1700 мл.",Антипасти,16 500 Т,Алматы
Оливки зеленые сорта Bella di Cerignola Le Bonta  3100 гр Экстра,Антипасти,18 800 Т,Алматы
"Джем из Сицилийского Лимона, 110 гр",Антипасти,2 500 Т,Алматы
Plaza Del Sol Оливки с апельсином 280 гр,Антипасти,1 700 Т,Алматы
Брускетта Микс с Вялеными Помидорами Alicos,Антипасти,3 600 Т,Алматы
Plaza Del Sol Оливки с тунцом 280 гр,Антипасти,1 700 Т,Алматы
Джем из Красного сицилийского апельсина 220 гр,Антипасти,3 500 Т,Алматы
Plaza Del Sol Оливки с перцем чили 280 гр,Антипасти,1 700 Т,Алматы
Plaza Del Sol Оливки с ветчиной 280 гр,Антипасти,1 700 Т,Алматы
Plaza Del Sol Оливки с чоризо 280 гр,Антипасти,1 700 Т,Алматы
Маслины без косточек Saporite Le Bonta 3100 мл,Антипасти,18 800 Т,Алматы
Le Bonta Брускетта с черными оливками 212 мл,Антипасти,2 700 Т,Алматы
Plaza Del Sol Оливки целые Арбекина 350 гр,Антипасти,2 200 Т,Алматы
Le Bonta Брускетта с вялеными помидорами 212 мл,Антипасти,2 700 Т,Алматы
Plaza Del Sol Перец зеленый чили маринованный 300 гр,Антипасти,2 200 Т,Алматы
Plaza Del Sol Оливки с перцем 280 гр,Антипасти,1 700 Т,Алматы
Le Bonta Брускетта пикантная 212 мл,Антипасти,2 700 Т,Алматы
Plaza Del Sol Бандерилья классическая 350 гр,Антипасти,1 700 Т,Алматы
Plaza Del Sol Оливки с чесноком 280 гр,Антипасти,1 700 Т,Алматы
Plaza Del Sol Каперсы в уксусе 110 гр,Антипасти,1 300 Т,Алматы
Plaza Del Sol Оливки Гордал с перцем 350 гр,Антипасти,2 200 Т,Алматы
"Джем из Сицилийского лимона, 220 гр",Антипасти,3 500 Т,Алматы
Артишоки со стеблями Alla Romana Le Bonta 3100 мл,Антипасти,24 000 Т,Алматы
Alicos  Паштет-тапенад из зеленых оливок 190 гр,Антипасти,3 600 Т,Алматы
Помидоры вяленые alla Pugliese 1700 мл,Антипасти,10 800 Т,Алматы
Томатный соус с Каперсами и Оливками Alicos 350 гр,Антипасти,2 000 Т,Алматы
Plaza Del Sol Огурчики маринованные 350 гр,Антипасти,1 700 Т,Алматы
Alicos Паштет-тапенад из цуккини 190 гр,Антипасти,990 Т,Алматы
Песто из дикого фенхеля Alicos 190 гр,Антипасти,3 600 Т,Алматы
Plaza Del Sol Бандерилья пикантная 350 гр,Антипасти,1 700 Т,Алматы
Песто Трапанезе Alicos 190 гр,Антипасти,3 600 Т,Алматы
Паста из Чили перца Alicos 190 гр,Антипасти,3 600 Т,Алматы
Alicos Паштет-тапенад из черных оливок 190 гр,Антипасти,3 600 Т,Алматы
Le Bonta Соус для пасты Alla Puttanesca 314 мл,Антипасти,2 900 Т,Алматы
Помидоры полувяленные GiLiegino Le Bonta 314 мл,Антипасти,4 000 Т,Алматы
Alicos Соус Сицилийская Капоната 190 гр,Антипасти,3 600 Т,Алматы
Alicos Соус Песто по Сицилийски 190 гр,Антипасти,3 600 Т,Алматы
Alicos Соус Пассата с помидорами черри 330 гр,Антипасти,2 000 Т,Алматы
Plaza Del Sol Андалузский коктейль (оливки микс и маринованные огурчики) 350 гр,Антипасти,1 700 Т,Алматы
Лук на Гриле Borettane Le Bonta 314 мл,Антипасти,3 500 Т,Алматы
Маслины и Оливки Gustose Le Bontà mix 3100 мл,Антипасти,18 800 Т,Алматы
Le Bonta Брускетта из артишоков 212 мл,Антипасти,2 700 Т,Алматы
Alicos Соус Ортолана 350 гр,Антипасти,2 000 Т,Алматы
Артишоки четвертинки Paesana Le Bonta 3100 мл.,Антипасти,20 000 Т,Алматы
Артишоки со стеблями на гриле  Alla Romana Le Bonta 3100 мл,Антипасти,24 000 Т,Алматы
Le Bonta Брускетта Del Casale 212 мл,Антипасти,2 700 Т,Алматы
Le Bonta Артишоки четвертинка Paesana 314 мл,Антипасти,4 800 Т,Алматы
Alicos Песто Фисташковый 180 гр,Антипасти,5 000 Т,Алматы
Alicos Песто Фисташковый 40 гр,Антипасти,1 500 Т,Алматы
Лук на гриле с Бальзамическим уксусом Le Bonta 314 мл,Антипасти,3 500 Т,Алматы
"Перец Черри фаршированный с Тунцом и Каперсами, Le Bonta 1700 мл.",Антипасти,16 500 Т,Алматы
Le Bonta Брускетта Del Casale 580 мл,Антипасти,5 500 Т,Алматы
Соус пепероната Alicos 190 гр,Антипасти,3 000 Т,Алматы
Alicos  Песто Фисташковый 90 гр,Антипасти,3 000 Т,Алматы
Plaza Del Sol Нут вареный 540 гр,Антипасти,1 700 Т,Алматы
Alicos  Миндальная паста 90 гр,Антипасти,2 600 Т,Алматы
Le Bonta Брускетта из артишоков 580 мл,Антипасти,5 500 Т,Алматы
Le Bonta Брускетта из перца 212 мл,Антипасти,2 700 Т,Алматы
Паста из Сладкого перца Alicos 190 гр,Антипасти,3 600 Т,Алматы
Casa Marrazzo Целые очищенные помидоры Сан Марцано с базиликом 800 гр,Антипасти,5 300 Т,Алматы
Plaza Del Sol Лук маринованный 350 гр,Антипасти,1 700 Т,Алматы
Оливки измельченные Del Casale Le Bonta 3100 мл,Антипасти,18 800 Т,Алматы
Casa Marrazzo Соус пассата из желтых помидоров 2600 гр,Антипасти,4 500 Т,Алматы
Alicos Соус сальса с помидорами черри и финиковыми помидорами 330 гр,Антипасти,2 000 Т,Алматы
Alicos  Паста из артишоков 190 гр,Антипасти,990 Т,Алматы
Alicos Песто Капулиато пикантная из вяленых помидор 190 гр,Антипасти,3 600 Т,Алматы
Le Bonta Соус для пасты с овощами 314 мл,Антипасти,2 900 Т,Алматы
Plaza Del Sol Перец Пикильо целиком 290 гр,Антипасти,2 200 Т,Алматы
Alicos Соус из помидоров черри и перца 330 гр,Антипасти,2 000 Т,Алматы
Перец на гриле в масле Le Bonta 1700 мл,Антипасти,10 800 Т,Алматы
Plaza Del Sol Перец Пикильо нарезанный 280 гр,Антипасти,2 200 Т,Алматы
Alicos Соус Пассата с помидорами черри 660 гр,Антипасти,2 500 Т,Алматы
Plaza Del Sol Перец Пикильо с тунцом 225 гр,Антипасти,3 500 Т,Алматы
Le Bonta Артишоки сердцевина в рассоле ж/б 2650 мл,Антипасти,12 800 Т,Алматы
Артишоки со стеблями alla PugLiese ж/б Le Bonta  2650 мл,Антипасти,16 800 Т,Алматы
Alicos  Артишоки Нонна Пеппа-банка 190 гр,Антипасти,3 600 Т,Алматы
Le Bonta  Каперсы в уксусе 1700 мл,Антипасти,10 800 Т,Алматы
Casa Marrazzo Соус из томатов Черри Пьенноло Дель Везувио 1000 гр,Антипасти,7 500 Т,Алматы
Шампиньоны на гриле Le Bonta 1700 мл,Антипасти,16 800 Т,Алматы
Le Bonta Артишок сердцевина Rustici  314 мл,Антипасти,4 800 Т,Алматы
Plaza Del Sol Фасоль сливочная вареная 540 гр,Антипасти,1 700 Т,Алматы
Medusa салат из морепродуктов 200 гр,Антипасти,3 990 Т,Алматы
Casa Marrazzo Артишоки со стеблями на гриле в масле 750 гр,Антипасти,7 000 Т,Алматы
Casa Marrazzo Баклажаны на гриле в масле 1000 гр,Антипасти,5 800 Т,Алматы
Casa Marrazzo Перец на гриле 800 гр,Антипасти,5 400 Т,Алматы
Грибной микс Le Bonta 3100 мл,Антипасти,21 000 Т,Алматы
Чеснок маринованный с зеленью Le Bonta 1062 мл,Антипасти,7 800 Т,Алматы
Артишок на гриле сердцевина Le Bonta  3100 мл,Антипасти,28 500 Т,Алматы
Le Bonta Артишоки сердцевина 3100 мл,Антипасти,24 000 Т,Алматы
Plaza Del Sol Фасоль белая вареная 540 гр,Антипасти,1 700 Т,Алматы
Помидоры полувяленые Ciliegino Le Bonta 1700 мл,Антипасти,18 800 Т,Алматы
Антипасто Рустико в масле Le Bonta 3100 мл,Антипасти,18 500 Т,Алматы
Casa Marrazzo Крем из Брокколи Априлатико 300 гр,Антипасти,7 500 Т,Алматы
Casa Marrazzo Эскарол с каперсами в масле 1000 гр,Антипасти,7 500 Т,Алматы
Помидоры вяленые alla Pugliese Le Bonta 3100 мл,Антипасти,18 800 Т,Алматы
Le Bonta Кабачки на гриле в масле 314 мл,Антипасти,4 000 Т,Алматы
Medusa Сурими с королевскими креветками 1 кг,Антипасти,12 800 Т,Алматы
Перец на гриле в масле Le Bonta 3100 мл,Антипасти,18 800 Т,Алматы
Артишоки четвертинка в рассоле ж/б Le Bonta 2650 мл,Антипасти,12 800 Т,Алматы
Le Bonta Лук на гриле Borettane 1700 мл,Антипасти,10 500 Т,Алматы
Le Bonta Лук с бальзамическим уксусом Borettane 1700 мл,Антипасти,10 500 Т,Алматы
Casa Marrazzo Цуккини на гриле в масле 750 гр,Антипасти,4 900 Т,Алматы
Кокосовое Молоко Aroy-D 400 мл,Бакалея,2 200 Т,Алматы
Том Ям Паста Aroy-D  400 гр,Бакалея,3 600 Т,Алматы
Спагетти с чернилами каракатицы Le Bonta 500 гр,Бакалея,2 500 Т,Алматы
"Caffe Poli Кофе в зернах Arabica 100% 1 кг, Италия",Бакалея,13 500 Т,Алматы
Ореховая Заправка Sen Soy 40 гр,Бакалея,590 Т,Алматы
Приправа Гималайская и Три вида перца горошек 312 гр мельница Carmencita,Бакалея,4 800 Т,Алматы
4 Перца горошком микс Carmencita 145 гр мельница,Бакалея,5 690 Т,Алматы
