Название продукта,Категория продукта,Цена продукта,Город
Casa Marrazzo Целые очищенные помидоры Сан Марцано с базиликом 2560 гр,Антипасти,6 890 Т,Астана
"Перец Черри с сыром, Le Bonta, 1700 мл.",Антипасти,16 500 Т,Астана
Оливки зеленые сорта Bella di Cerignola Le Bonta  3100 гр Экстра,Антипасти,18 800 Т,Астана
"Джем из Сицилийского Лимона, 110 гр",Антипасти,2 500 Т,Астана
Plaza Del Sol Оливки с апельсином 280 гр,Антипасти,1 700 Т,Астана
Брускетта Микс с Вялеными Помидорами Alicos,Антипасти,3 600 Т,Астана
Plaza Del Sol Оливки с тунцом 280 гр,Антипасти,1 700 Т,Астана
Джем из Красного сицилийского апельсина 220 гр,Антипасти,3 500 Т,Астана
Plaza Del Sol Оливки с перцем чили 280 гр,Антипасти,1 700 Т,Астана
Plaza Del Sol Оливки с ветчиной 280 гр,Антипасти,1 700 Т,Астана
Plaza Del Sol Оливки с чоризо 280 гр,Антипасти,1 700 Т,Астана
Маслины без косточек Saporite Le Bonta 3100 мл,Антипасти,18 800 Т,Астана
Le Bonta Брускетта с черными оливками 212 мл,Антипасти,2 700 Т,Астана
Plaza Del Sol Оливки целые Арбекина 350 гр,Антипасти,2 200 Т,Астана
Le Bonta Брускетта с вялеными помидорами 212 мл,Антипасти,2 700 Т,Астана
Plaza Del Sol Перец зеленый чили маринованный 300 гр,Антипасти,2 200 Т,Астана
Plaza Del Sol Оливки с перцем 280 гр,Антипасти,1 700 Т,Астана
Le Bonta Брускетта пикантная 212 мл,Антипасти,2 700 Т,Астана
Plaza Del Sol Бандерилья классическая 350 гр,Антипасти,1 700 Т,Астана
Plaza Del Sol Оливки с чесноком 280 гр,Антипасти,1 700 Т,Астана
Plaza Del Sol Каперсы в уксусе 110 гр,Антипасти,1 300 Т,Астана
Plaza Del Sol Оливки Гордал с перцем 350 гр,Антипасти,2 200 Т,Астана
"Джем из Сицилийского лимона, 220 гр",Антипасти,3 500 Т,Астана
Артишоки со стеблями Alla Romana Le Bonta 3100 мл,Антипасти,24 000 Т,Астана
Alicos  Паштет-тапенад из зеленых оливок 190 гр,Антипасти,3 600 Т,Астана
Помидоры вяленые alla Pugliese 1700 мл,Антипасти,10 800 Т,Астана
Томатный соус с Каперсами и Оливками Alicos 350 гр,Антипасти,2 000 Т,Астана
Plaza Del Sol Огурчики маринованные 350 гр,Антипасти,1 700 Т,Астана
Alicos Паштет-тапенад из цуккини 190 гр,Антипасти,990 Т,Астана
Песто из дикого фенхеля Alicos 190 гр,Антипасти,3 600 Т,Астана
Plaza Del Sol Бандерилья пикантная 350 гр,Антипасти,1 700 Т,Астана
Песто Трапанезе Alicos 190 гр,Антипасти,3 600 Т,Астана
Паста из Чили перца Alicos 190 гр,Антипасти,3 600 Т,Астана
Alicos Паштет-тапенад из черных оливок 190 гр,Антипасти,3 600 Т,Астана
Le Bonta Соус для пасты Alla Puttanesca 314 мл,Антипасти,2 900 Т,Астана
Помидоры полувяленные GiLiegino Le Bonta 314 мл,Антипасти,4 000 Т,Астана
Alicos Соус Сицилийская Капоната 190 гр,Антипасти,3 600 Т,Астана
Alicos Соус Песто по Сицилийски 190 гр,Антипасти,3 600 Т,Астана
Alicos Соус Пассата с помидорами черри 330 гр,Антипасти,2 000 Т,Астана
Plaza Del Sol Андалузский коктейль (оливки микс и маринованные огурчики) 350 гр,Антипасти,1 700 Т,Астана
Лук на Гриле Borettane Le Bonta 314 мл,Антипасти,3 500 Т,Астана
Маслины и Оливки Gustose Le Bontà mix 3100 мл,Антипасти,18 800 Т,Астана
Le Bonta Брускетта из артишоков 212 мл,Антипасти,2 700 Т,Астана
Alicos Соус Ортолана 350 гр,Антипасти,2 000 Т,Астана
Артишоки четвертинки Paesana Le Bonta 3100 мл.,Антипасти,20 000 Т,Астана
Артишоки со стеблями на гриле  Alla Romana Le Bonta 3100 мл,Антипасти,24 000 Т,Астана
Le Bonta Брускетта Del Casale 212 мл,Антипасти,2 700 Т,Астана
Le Bonta Артишоки четвертинка Paesana 314 мл,Антипасти,4 800 Т,Астана
Alicos Песто Фисташковый 180 гр,Антипасти,5 000 Т,Астана
Alicos Песто Фисташковый 40 гр,Антипасти,1 500 Т,Астана
Лук на гриле с Бальзамическим уксусом Le Bonta 314 мл,Антипасти,3 500 Т,Астана
"Перец Черри фаршированный с Тунцом и Каперсами, Le Bonta 1700 мл.",Антипасти,16 500 Т,Астана
Le Bonta Брускетта Del Casale 580 мл,Антипасти,5 500 Т,Астана
Соус пепероната Alicos 190 гр,Антипасти,3 000 Т,Астана
Alicos  Песто Фисташковый 90 гр,Антипасти,3 000 Т,Астана
